Datum,Nr,Dauer_sek,Kcal,Watt,MaxHF,Rec,RR_ruhe,RR_training,RR_abend,Kinomap,Strecke,Distanz_km,Kadenz_rpm,Watt_Max,Watt_Max_PR,Hoehenmeter,Temperatur_C,Max_kmh,Kommentar
11.8,83,2460,398,169,122,,132/82/85,103/78/84,125/72/75,1,Kaiserstrand–Rohrspitz (Bodensee),20.80,72,282,,50,30,,"gut angefangen, nach 1. Hälfte eingebrochen, 40min trotzdem durchgehalten"
12.8,–,,,,,,137/82/70 (16:42),,,,,,,,,,,,
13.8,84,1680,323,197,119,1,,138/76/90,,1,St.Margarethen–Bregenz–Lochau,15.40,79,277,,33,29,,⚠️ gestern abend Blutdruckmedikamente vergessen
13.8,85,1620,287,188,120,1,,134/81/92,,1,Bora Bora Matira–Vaitape,14.21,77,275,,17,29,,
14.8,86,2280,427,195,118,1,,118/74/91,,1,Radl Ring München Dachau–Ismaning,20.58,76,312,,44,31,,
15.8,87,3180,518,171,114,1,,121/71/86,,1,Cologne Lunchbreak,26.07,71,272,,102,30,,sehr anstrengend
16.8,88,1680,321,196,114,,137/85/73,124/76/89,,1,St.Margarethen–Bregenz–Lochau,15.40,78,263,,33,30,40.6,
17.8,89,1860,384,218,117,1,143/86/71 (12:46),131/79/90,,1,Berlin Marathon 2019 (1),17.28,81,364,,8,27,38.4,"kühler, sehr starke Leistung auf 30'"
18.8,90,3120,530,179,112,,135/85/70,107/65/87,,1,Cologne Lunchbreak,26.07,73,271,,102,,51.3,
19.8,91,1980,359,190,120,,132/85/78,113/70/87,,1,Ferney-Voltaire to Divonne-les-Bains,15.08,75,335,,134,,49.0,
19.8,92,1140,244,222,130,,,118/78/97,,1,Casal Palocco - Pontile Ostia,10.97,84,292,,10,30,40.5,
20.8,93,1874,373,208,120,,135/85/71,121/73/87,,1,Widnau - Widnau,17.29,79,287,,30,26,40.8,
21.8,94,1852,380,215,116,,157/87/80,144/84/84,,1,Berlin Marathon 2019 (1),17.27,79,287,,8,25,36.3,sekundengenau
22.8,95,2138,398,194,119,,140/80/73,126/75/87,,1,😍 In and around CERN (🇨🇭🇫🇷),17.16,76,331,,144,23,55.0,etwas höherer blutdruck etwas bessere leistung
23.8,96,2012,377,196,120,,140/85/70,120/72/89,,1,Golden Autumn on Vienna's Donauinsel,18.14,78,335,,72,,50.5,
24.8,97,2257,440,204,116,,135/85/67,113/75/83,,1,🚴 Radl Ring München - Dachau-->Ismaning ☀️📹,20.58,79,303,,44,35,48.5,
25.8,98,2982,557,195,113,,140/85/68,120/78/80,127/77/76,1,Cologne Lunchbreak,26.07,77,330,,102,21,51.9,
26.8,–,,,,,,147/89/80 (11:36),,,,,,,,,,,,
26.8,99,1860,378,212,113,,,108/66/82,,1,Widnau - Widnau,17.30,80,330,,30,26,41.8,
26.8,100,1294,244,197,114,,,150/85/85,,1,Vienna - Donnauinsel Nord - 10k+,11.64,78,277,,21,26,38.8,
27.8,101,2016,357,185,125,,,125/78/87,,1,Ferney-Voltaire to Divonne-les-Bains,15.08,74,277,,134,27,49.3,"sehr hoch, ziemlich schwach aber durchgehalten"
30.8,102,3098,539,183,120,,,116/70/87,,1,Cologne Lunchbreak,26.07,73,306,,102,29,52.7,"lange pause in der mitte eingelegt, schwach, nicht jeder tag ist gut"
31.8,103,2233,446,209,124,,135/80/70,117/69/94,,1,🚴 Radl Ring München - Dachau-->Ismaning ☀️📹,20.58,80,340,,44,25,47.9,
31.8,104,1259,255,212,124,,,128/80/94,,1,Vienna - Donnauinsel Nord - 10k+,11.64,81,349,,21,26,41.1,
1.9,105,3086,522,177,125,,,108/70/84,,1,Lechradweg - von Grießau nach Weißenbach (Tirol/Austria/Österreich),28.34,73,368,1,91,26,52.2,"bldr, schwach mit pause in der mitte, kein rekordtag, aber immerhi 52 minutn totaleabfahrt"
2.9,106,3012,502,174,107,,135/80/77,123/73/84,,1,CERN-Divonne,24.21,72,320,,142,25,58.4,"sehr geringe kadenz, langsam angegangen, am schluss noch reserve, aber am stück zuende gefahren"
3.9,–,,,,,,130/75/67,,,,,,,,,,,,
